subset_id,fold,n_train,n_validation,accuracy,precision,recall,f1_score
Baseline-65,1,100136,25034,0.9994807062395142,0.9998729351969504,0.9993015429551083,0.9995871574200514
Baseline-65,2,100136,25034,0.9990812495006791,0.9997457734841744,0.998793574195187,0.9992694470031446
Baseline-65,3,100136,25034,0.9995206519133978,0.999619023430059,0.999619023430059,0.999619023430059
Baseline-65,4,100136,25034,0.9995206519133978,0.9998729351969504,0.9993649987299975,0.9996189024390244
Baseline-65,5,100136,25034,0.9996005432611648,0.9999364675984752,0.9994284988569977,0.999682418699187
