subset_id,fold,n_train,n_validation,accuracy,precision,recall,f1_score
Top-10,1,100136,25034,0.9992410321962132,0.9994919344595452,0.9993015429551084,0.9993967296396252
Top-10,2,100136,25034,0.9989614124790284,0.9998092695021934,0.9985395898152264,0.9991740263040854
Top-10,3,100136,25034,0.999001358152912,0.9991112239715592,0.9993015429551084,0.9992063744008128
Top-10,4,100136,25034,0.9992010865223296,0.9996188055908514,0.9991109982219964,0.999364837398374
Top-10,5,100136,25034,0.999001358152912,0.9993647970526583,0.9990474980949962,0.9992061223841732
Random-12,1,100136,25034,0.9993608692178636,0.9997458865383394,0.999238046860118,0.9994919021911718
Random-12,2,100136,25034,0.999161140848446,0.9998093301131308,0.9988570702901772,0.9993329733506972
Random-12,3,100136,25034,0.9996005432611648,0.9998094633216894,0.9995555273350688,0.9996824792023876
Random-12,4,100136,25034,0.9993608692178636,0.9997458703939008,0.9992379984759968,0.9994918699186992
Random-12,5,100136,25034,0.9992809778700966,0.9996823379923762,0.9991744983489969,0.9994283536585366
Baseline-65,1,100136,25034,0.9994807062395142,0.9998729351969504,0.9993015429551083,0.9995871574200514
Baseline-65,2,100136,25034,0.9990812495006791,0.9997457734841744,0.998793574195187,0.9992694470031446
Baseline-65,3,100136,25034,0.9995206519133978,0.999619023430059,0.999619023430059,0.999619023430059
Baseline-65,4,100136,25034,0.9995206519133978,0.9998729351969504,0.9993649987299975,0.9996189024390244
Baseline-65,5,100136,25034,0.9996005432611648,0.9999364675984752,0.9994284988569977,0.999682418699187
