class,precision,recall,f1-score,support
Benign,0.8615758999748259,0.9986965994864213,0.925082665849769,51404.0
DDoS/Attack,0.9997283225743666,0.9676291322111328,0.9834168639424985,254797.0
accuracy,0.9728446347333941,0.9728446347333941,0.9728446347333941,0.9728446347333941
macro avg,0.9306521112745962,0.983162865848777,0.9542497648961337,306201.0
weighted avg,0.9765357558247256,0.9728446347333941,0.9736239138255536,306201.0
