experiment_id,feature_count,sampling_seed,accuracy,precision,recall,f1_score,roc_auc,true_positives,true_negatives,false_positives,false_negatives,training_time_seconds,prediction_time_seconds
Random_01,5,20260903,0.8929755291458878,0.9909212318468859,0.8794412807058168,0.9318589646288745,0.9694623018772963,224079,49351,2053,30718,2.839368100016145,0.40903249999973923
Random_02,5,20260904,0.9778119601177004,0.9966516471412836,0.9766166791602727,0.9865324537338048,0.997079971915812,248839,50568,836,5958,1.233189599995967,0.30383920000167564
Random_03,5,20260905,0.9305717486226368,0.9460407196607968,0.972005164895976,0.9588472028912846,0.8710917148812626,247664,37278,14126,7133,1.233140900003491,0.3010601999994833
Random_04,5,20260906,0.9725245835252008,0.999533684219063,0.9674328975615882,0.9832213493521283,0.9868404377098592,246499,51289,115,8298,1.7831617999763694,0.31774210001458414
Random_05,5,20260907,0.9672535360759762,0.9899790212029979,0.9704706099365377,0.9801277515840127,0.9792452937126153,247273,48901,2503,7524,1.2495841000054497,0.2688040000211913
Random_06,5,20260908,0.8189032694210665,0.9884877207255334,0.7915870281047265,0.879147415220992,0.964111199283634,201694,49055,2349,53103,1.3998200000205543,0.43672940001124516
Random_07,5,20260909,0.9425704031012309,0.999810368222771,0.9311608849397756,0.964265320596059,0.9889912213868355,237257,51359,45,17540,1.3743593999824952,0.2692799000069499
Random_08,5,20260910,0.9745853214065271,0.9964227576920758,0.9729510159067807,0.9845470142496306,0.9974040565088029,247905,50514,890,6892,1.532975299982354,0.3134470999939367
Random_09,5,20260911,0.9742979284848841,0.999478123672553,0.9696189515575144,0.9843221470092554,0.9870040340142132,247056,51275,129,7741,1.6034633999806829,0.3257447000069078
Random_10,5,20260912,0.7674729997615946,0.9657150974314226,0.7470849342810159,0.8424465048350335,0.9111277584328358,190355,44646,6758,64442,2.0404610999976285,0.4538546000258066
Random_11,8,20260913,0.9354998840630827,0.9960534702026448,0.9261569013763898,0.9598343752669235,0.9940442491061162,235982,50469,935,18815,1.7600515999947675,0.32715480000479147
Random_12,8,20260914,0.9724396719801699,0.9985227934986726,0.9683120287915478,0.9831853910756448,0.9981502230737807,246723,51039,365,8074,1.3329086000157986,0.27053469998645596
Random_13,8,20260915,0.9386808011730856,0.9996951284059873,0.9265925422983787,0.9617567143689328,0.9957566496761869,236093,51332,72,18704,1.1535662999958731,0.30880299999262206
Random_14,8,20260916,0.9579295952658547,0.9900655946260215,0.959065452105009,0.9743190009888042,0.9917203553098256,244367,48952,2452,10430,1.6692813000117894,0.3402829999977257
Random_15,8,20260917,0.7406278882172168,0.9882786615957725,0.6965623614092787,0.8171663781354747,0.9470201143084196,177482,49299,2105,77315,1.7694432999996934,0.561650700023165
Random_16,8,20260918,0.9356011247513888,0.9998936749345038,0.9227070962373969,0.9597509822932081,0.9927101030008602,235103,51379,25,19694,1.0602960999822244,0.38088620000053197
Random_17,8,20260919,0.9767407683188494,0.9998990816429508,0.9721464538436481,0.98582748615981,0.9918031176664734,247700,51379,25,7097,1.1142937000258826,0.3106273000012152
Random_18,8,20260920,0.9727107357585377,0.9998417971839899,0.9673583283947613,0.9833318705167998,0.9885942459135123,246480,51365,39,8317,1.2273795999935828,0.36151560000143945
Random_19,8,20260921,0.9401569557251609,0.9993200869950801,0.9287158012064506,0.9627251867402236,0.9958318468213783,236634,51243,161,18163,1.9162550999899395,0.34222500000032596
Random_20,8,20260922,0.9810777887727342,0.9977810029866501,0.9794385334207232,0.9885246875680814,0.9947080153277491,249558,50849,555,5239,1.316362100013066,0.3363478999817744
Random_21,10,20260923,0.9391249538701703,0.9987665845797729,0.9279897330031358,0.9620782116540328,0.9937305184447947,236449,51112,292,18348,1.2706596000061836,0.3047867999994196
Random_22,10,20260924,0.8958363950476974,0.9998699318263365,0.8749357331522741,0.9332401199773106,0.9944361841464083,222931,51375,29,31866,1.6659087000007275,0.29975009997724555
Random_23,10,20260925,0.9261661457669962,0.9994020656695359,0.9118160731876749,0.9536021540684311,0.9980149973049368,232328,51265,139,22469,2.03462920000311,0.23336240000207908
Random_24,10,20260926,0.9737851933860439,0.9965470891720258,0.9718638759483039,0.98405072295309,0.9817621263981982,247628,50546,858,7169,1.6431678000080865,0.336821399978362
Random_25,10,20260927,0.902266811669459,0.9961389279899039,0.8859837439216317,0.937837804153563,0.995671096652402,225746,50529,875,29051,2.3274486000009347,0.34812879998935387
Random_26,10,20260928,0.9719400001959497,0.9986591970575249,0.9675781112022512,0.982872998660458,0.9910939479601107,246536,51073,331,8261,1.4610799000074621,0.320713799999794
Random_27,10,20260929,0.9685761966812649,0.9900265824555793,0.9720287130539214,0.9809451008194676,0.9955923373237974,247670,48909,2495,7127,1.3844559999997728,0.30294429999776185
Random_28,10,20260930,0.9167279009539485,0.9921614416765757,0.9070946675196333,0.9477230045023249,0.9862365587499404,231125,49578,1826,23672,2.9437218999955803,0.4209557000140194
Random_29,10,20260931,0.9408264505994428,0.9996115881821482,0.9292495594532117,0.9631472219566813,0.9944047006706089,236770,51312,92,18027,2.3101330999925267,0.3513532000069972
