rank_by_f1,experiment,feature_count,f1_score,recall,roc_auc,model_path
1,Random_12_07,12,0.9860144033740501,0.9725977935376006,0.9991893454014822,models\random_best_01.joblib
2,Random_12_02,12,0.9850008549353629,0.9721817760805661,0.9962627333172607,models\random_best_02.joblib
3,Random_12_10,12,0.9847179229761008,0.9700938394094122,0.9989085208064619,models\random_best_03.joblib
4,Random_8_09,8,0.9845532390393729,0.9699721739266945,0.9970393717975088,models\random_best_04.joblib
5,Random_12_05,12,0.9838921893066465,0.9684964893621196,0.9990199429885921,models\random_best_05.joblib
