feature_name,high_performing_group_count,groups
Packet Length Std,5,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Protocol,5,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Subflow Fwd Bytes,5,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Subflow Fwd Packets,5,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Total Fwd Packets,5,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Avg Bwd Segment Size,4,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp; top_10_importance_selected
Avg Fwd Segment Size,4,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn
Flow Bytes/s,4,top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Fwd Packet Length Min,4,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp; top_10_importance_selected
Fwd Packets Length Total,4,top_10_by_f1; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Idle Mean,4,top_10_by_f1; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Packet Length Mean,4,top_10_by_f1; top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn
Packet Length Min,4,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp; top_10_importance_selected
RST Flag Count,4,top_10_by_roc_auc; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Total Backward Packets,4,top_10_by_f1; top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Bwd IAT Total,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
Bwd Packet Length Std,3,top_10_by_recall; top_10_by_lowest_fn; top_10_by_lowest_fp
Fwd Act Data Packets,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
Fwd IAT Mean,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
Fwd PSH Flags,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
Idle Min,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
Packet Length Variance,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
SYN Flag Count,3,top_10_by_f1; top_10_by_recall; top_10_by_lowest_fn
Subflow Bwd Packets,3,top_10_by_f1; top_10_by_roc_auc; top_10_by_lowest_fp
Bwd Packet Length Min,2,top_10_by_roc_auc; top_10_by_lowest_fp
