group,metric,minimum,maximum,mean,median,std
feature_count_5,accuracy,0.689318454217981,0.9723776212357242,0.8666353147115782,0.9065907688087236,0.11547645723848281
feature_count_5,precision,0.9461903909235336,0.9996915246394694,0.9872258095663604,0.9929314812219039,0.016519746132061107
feature_count_5,recall,0.639666087120335,0.9747249771386634,0.850803973359184,0.9192082324360178,0.13887600930680424
feature_count_5,f1_score,0.7740898264311887,0.9831448806909444,0.9083115232098582,0.9420390396401843,0.08442731614959584
feature_count_5,roc_auc,0.8316630607077531,0.9941736222693028,0.9425532064239812,0.9599585951738052,0.05313203830683384
feature_count_5,false_positives,76.0,14124.0,2821.7,1345.0,4244.604419469236
feature_count_5,false_negatives,6440.0,91812.0,38014.7,20585.5,35385.1905433458
feature_count_5,training_time_seconds,0.9409424999612384,1.7706703000003472,1.2408882599906064,1.256655299977865,0.2832129161595275
feature_count_5,test_prediction_time_seconds,0.2767192999599501,0.3699402000056579,0.3246361499943305,0.3276313499954995,0.039134720725574494
feature_count_8,accuracy,0.9353235293157108,0.974673498780213,0.9624491755415561,0.9719465318532599,0.016319728185061784
feature_count_8,precision,0.9978220482856528,0.9998228363894056,0.9992742392807985,0.999459074515598,0.0006198678229790665
feature_count_8,recall,0.922554033210752,0.9699721739266944,0.9555661958343308,0.9669423109377269,0.019529184616313908
feature_count_8,f1_score,0.9595780638945812,0.9845532390393728,0.9768397778342226,0.9828707803904091,0.01034247717405754
feature_count_8,roc_auc,0.9872493169043752,0.997720203913366,0.9937654707661899,0.9951951438713582,0.004044130493366521
feature_count_8,false_positives,42.0,517.0,176.5,133.5,148.1562613519178
feature_count_8,false_negatives,7651.0,19733.0,11321.6,8423.0,4975.977652682938
feature_count_8,training_time_seconds,0.8617345999809913,1.9585360999917607,1.2906022999959532,1.210730799997691,0.3374281257533849
feature_count_8,test_prediction_time_seconds,0.2918925000121817,0.3509224999579601,0.31742668999941087,0.31746010002098046,0.021982290397560927
feature_count_10,accuracy,0.7369146410364433,0.9735696486948116,0.9201834742538397,0.9359097455592895,0.07130907788679666
feature_count_10,precision,0.98940520863762,0.9997510084159156,0.9974680379155993,0.9993985533548955,0.00395257145628862
