mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
17.15808539390564,1.4027790156358522,0.07106423377990723,0.010715550494908205,50,10,4,,20,entropy,True,"{""n_estimators"": 50, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": null, ""max_depth"": 20, ""criterion"": ""entropy"", ""bootstrap"": true}",0.9992410321962132,0.9987217384357274,0.9993608692178637,0.9992010865223296,0.998921466805145,0.9990892386354557,0.0002334687096940526,14,0.999745838098869,0.9996820754117124,0.9998093906855582,0.9996188055908514,0.9995551318716238,0.9996822483317228,8.988041201865169e-05,12,0.9990475585751476,0.9982856054352657,0.999174550765128,0.9991109982219964,0.9987299974599949,0.9988697420915065,0.0003296894736168743,12,0.999396576364849,0.9989833523954759,0.9994918699186992,0.999364837398374,0.9991423943080393,0.9992758060770874,0.00018575439603777766,14
150.33303422927855,5.216416658762721,0.2784741401672363,0.024840237122874916,200,10,4,,10,gini,False,"{""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": null, ""max_depth"": 10, ""criterion"": ""gini"", ""bootstrap"": false}",0.9934089638092195,0.9932491811136854,0.9939282575697052,0.9941679316130063,0.9939282575697052,0.9937365183350643,0.00034768802663556975,20,0.9942280857541546,0.9937880324543611,0.9946717411988583,0.9944226137660033,0.9942324755989352,0.9942685897544626,0.00028987397544472603,20,0.9953012889707283,0.9954917772556988,0.9956822655406693,0.9963169926339853,0.9961264922529846,0.9957837633308133,0.0003821349974703332,20,0.9947643979057592,0.9946391752577319,0.9951767468426731,0.9953689018587832,0.9951785827570894,0.9950255609244074,0.00027628096789281164,20
40.442887735366824,2.3687688813794576,0.3243744373321533,0.05798809577829951,200,2,2,log2,,gini,False,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}",0.9994807062395142,0.9988815211312615,0.9997203802828154,0.9994407605656307,0.9994008148917473,0.9993848366221938,0.0002751326253530808,3,0.9999364595247172,0.9998092452470274,0.9999364837398373,0.9998094027954256,0.9998093906855582,0.9998601963985132,6.227849273373404e-05,2,0.9992380468601181,0.998412597625246,0.999619023430059,0.9993014986029972,0.9992379984759969,0.9991618329988835,0.0004003730632769386,6,0.9995871311970019,0.9991104333460414,0.9997777283840854,0.9995553861788617,0.9995236129196177,0.9995108584051217,0.00021887108199440092,5
59.29895420074463,3.8788015350415095,0.506481122970581,0.13399825321958644,300,2,2,sqrt,,gini,False,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}",0.9994807062395142,0.998921466805145,0.9996804346089319,0.9994008148917473,0.9994407605656307,0.9993848366221938,0.0002508639205577456,3,0.9999364595247172,0.9998092573753815,0.9999364797052658,0.9998093906855582,0.9998094027954256,0.9998601980172696,6.227551999865036e-05,1,0.9992380468601181,0.9984760937202362,0.9995555273350689,0.9992379984759969,0.9993014986029972,0.9991618329988835,0.00036231196561662223,6,0.9995871311970019,0.999142230835213,0.9997459672297726,0.9995236129196177,0.9995553861788617,0.9995108656720934,0.00019956221261397867,4
42.41664867401123,1.6278699646093946,0.3704719543457031,0.08429689318275826,200,5,2,sqrt,,entropy,False,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}",0.9994407605656307,0.998921466805145,0.9997203802828154,0.9994407605656307,0.9994008148917473,0.9993848366221938,0.00025838398384270364,3,0.9998094149037545,0.9998092573753815,1.0,0.9998094027954256,0.9997458865383394,0.9998347923225802,8.618409383841385e-05,8,0.9993015429551083,0.9984760937202362,0.9995555273350689,0.9993014986029972,0.9993014986029972,0.9991872322432815,0.00036892812697259317,4,0.9995554144172754,0.999142230835213,0.9997777142675686,0.9995553861788617,0.9995236431769824,0.9995108777751802,0.0002055381940116464,3
29.671930599212647,3.9645636612755917,0.2944082260131836,0.0680154966059492,200,10,4,sqrt,40,gini,True,"{""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": true}",0.9992410321962132,0.9988016297834944,0.9994407605656307,0.9992410321962132,0.9992010865223296,0.9991851082527763,0.00020924823605830895,11,0.9998728867420872,0.9998092209856916,1.0,0.999809342230696,0.9998093301131308,0.9998601560143211,7.41324513821255e-05,4,0.9989205663851674,0.9982856054352657,0.9991110546701378,0.998983997967996,0.9989204978409957,0.9988443444599125,0.00028790132183152656,16,0.9993964996982498,0.9990468323060304,0.9995553296912718,0.9993964996982498,0.9993647163458484,0.9993519755479301,0.00016648869844303175,11
37.97223191261291,2.2529404727684774,0.3449392318725586,0.04661159488122318,200,2,2,log2,10,gini,False,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": 10, ""criterion"": ""gini"", ""bootstrap"": false}",0.9992809778700966,0.9975633138931054,0.998761684109611,0.999001358152912,0.9982024446752417,0.9985619557401935,0.0006126161065009355,17,0.9999364393313418,0.9979685119349924,0.9989207719654647,0.9996186844613918,0.9984130006982797,0.9989714816782941,0.0007308126299697633,17,0.9989205663851674,0.9981586132452854,0.9991110546701378,0.9987934975869952,0.9987299974599949,0.9987427458695162,0.000319756372841857,17,0.9994282447112636,0.9980635535379829,0.9990159042570077,0.9992059206555919,0.9985714739214628,0.9988570194166618,0.0004867030171814478,17
29.89073700904846,1.2909839428235097,0.26407313346862793,0.012972739992523373,200,5,1,sqrt,30,gini,True,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 30, ""criterion"": ""gini"", ""bootstrap"": true}",0.9995206519133978,0.9989614124790285,0.9996005432611648,0.9994407605656307,0.9994807062395142,0.9994008148917471,0.0002259668550568234,2,0.9999364635618527,0.9998092695021934,0.9999364716345849,0.9998094027954256,0.9997459188210633,0.999847505263024,7.623932165597509e-05,6,0.9993015429551083,0.9985395898152264,0.9994285351450886,0.9993014986029972,0.9994284988569977,0.9991999330750836,0.00033502076595053217,3,0.9996189024390244,0.9991740263040854,0.9996824388694824,0.9995553861788617,0.9995871836397701,0.9995235874862448,0.00017975947810779344,2
153.05902590751649,5.398282842515313,0.2781260013580322,0.0346953911569731,200,5,1,,30,gini,False,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": null, ""max_depth"": 30, ""criterion"": ""gini"", ""bootstrap"": false}",0.998921466805145,0.9990413038267956,0.9993209235439802,0.9992010865223296,0.9991211951745625,0.9991211951745627,0.00013605006284192844,13,0.9991111111111111,0.9994917730766787,0.9994285714285714,0.9993015873015872,0.9996187571483035,0.9993903600132505,0.00017307253778532848,16,0.999174550765128,0.9989840624801575,0.9994920312400787,0.9994284988569977,0.998983997967996,0.9992126282620715,0.00021476971931703382,2,0.9991428299311089,0.9992378532867577,0.9994603003269945,0.9993650390500984,0.9993012767579241,0.9993014598705766,0.00010814979555652296,13
153.90316734313964,5.290602827162057,0.32899980545043944,0.06524424525478636,300,10,1,,40,entropy,False,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": null, ""max_depth"": 40, ""criterion"": ""entropy"", ""bootstrap"": false}",0.999001358152912,0.9991211951745625,0.9992010865223296,0.9993209235439802,0.9990812495006791,0.9991451625788926,0.00010895727168638977,12,0.9992379984759969,0.9997457896409279,0.9993016316424354,0.999618878231595,0.9993648777389648,0.999453835145984,0.0001950084316603301,15,0.999174550765128,0.9988570702901771,0.9994285351450886,0.9993014986029972,0.9991744983489967,0.9991872306304774,0.00019005987403957608,5,0.99920627361336,0.9993012323719985,0.9993650793650793,0.9994601632212378,0.9992696789762805,0.9993204855095913,8.659655819148557e-05,12
