subset_id,feature_count,n_iter,n_cv_fits,best_hyperparameters,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,features
Top-10,10,20,100,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": false}",0.9990972277702325,0.00010792726760492814,0.9994665399556831,0.0002639228504107502,0.9990983336782853,0.00033418143802987064,0.9992823361965643,8.589142466834646e-05,"[""URG Flag Count"", ""Bwd Packets/s"", ""Packet Length Min"", ""Bwd Packet Length Max"", ""Bwd Packet Length Mean"", ""Avg Bwd Segment Size"", ""Bwd Packets Length Total"", ""Init Bwd Win Bytes"", ""Fwd Packet Length Min"", ""Subflow Bwd Bytes""]"
Random_12_07,12,20,100,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": false}",0.999408804026524,0.00026406477400398444,0.9997966898363085,5.319656919521069e-05,0.9992634307828778,0.00038255318413573085,0.9995299647343749,0.00021004554319731922,"[""Total Fwd Packets"", ""Idle Max"", ""Init Fwd Win Bytes"", ""Fwd IAT Std"", ""Active Mean"", ""Flow IAT Mean"", ""Protocol"", ""Fwd IAT Max"", ""Bwd Packets/s"", ""Fwd Packet Length Max"", ""Bwd Header Length"", ""Fwd Header Length""]"
Baseline-65,65,20,100,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": false}",0.9995046736438444,0.000153674075750366,0.9998348447954186,9.628357937505348e-05,0.9993777245602621,0.000251587532406235,0.9996062153171827,0.00012220952491792184,"[""Protocol"", ""Flow Duration"", ""Total Fwd Packets"", ""Total Backward Packets"", ""Fwd Packets Length Total"", ""Bwd Packets Length Total"", ""Fwd Packet Length Max"", ""Fwd Packet Length Min"", ""Fwd Packet Length Mean"", ""Fwd Packet Length Std"", ""Bwd Packet Length Max"", ""Bwd Packet Length Min"", ""Bwd Packet Length Mean"", ""Bwd Packet Length Std"", ""Flow Bytes/s"", ""Flow Packets/s"", ""Flow IAT Mean"", ""Flow IAT Std"", ""Flow IAT Max"", ""Flow IAT Min"", ""Fwd IAT Total"", ""Fwd IAT Mean"", ""Fwd IAT Std"", ""Fwd IAT Max"", ""Fwd IAT Min"", ""Bwd IAT Total"", ""Bwd IAT Mean"", ""Bwd IAT Std"", ""Bwd IAT Max"", ""Bwd IAT Min"", ""Fwd PSH Flags"", ""Fwd Header Length"", ""Bwd Header Length"", ""Fwd Packets/s"", ""Bwd Packets/s"", ""Packet Length Min"", ""Packet Length Max"", ""Packet Length Mean"", ""Packet Length Std"", ""Packet Length Variance"", ""SYN Flag Count"", ""RST Flag Count"", ""ACK Flag Count"", ""URG Flag Count"", ""CWE Flag Count"", ""Down/Up Ratio"", ""Avg Packet Size"", ""Avg Fwd Segment Size"", ""Avg Bwd Segment Size"", ""Subflow Fwd Packets"", ""Subflow Fwd Bytes"", ""Subflow Bwd Packets"", ""Subflow Bwd Bytes"", ""Init Fwd Win Bytes"", ""Init Bwd Win Bytes"", ""Fwd Act Data Packets"", ""Fwd Seg Size Min"", ""Active Mean"", ""Active Std"", ""Active Max"", ""Active Min"", ""Idle Mean"", ""Idle Std"", ""Idle Max"", ""Idle Min""]"
