subset_id,feature_count,features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
Top-10,10,"[""URG Flag Count"", ""Bwd Packets/s"", ""Packet Length Min"", ""Bwd Packet Length Max"", ""Bwd Packet Length Mean"", ""Avg Bwd Segment Size"", ""Bwd Packets Length Total"", ""Init Bwd Win Bytes"", ""Fwd Packet Length Min"", ""Subflow Bwd Bytes""]",0.9990812495006789,0.0001294387772311515,0.9994792061153615,0.00026319771817762366,0.9990602344084871,0.00031235780776212567,0.9992696180254141,0.00010294819224998322
Random-12,12,"[""Bwd Packet Length Min"", ""Subflow Bwd Packets"", ""Total Backward Packets"", ""Active Std"", ""Fwd PSH Flags"", ""Packet Length Max"", ""Idle Std"", ""Fwd Seg Size Min"", ""Bwd IAT Min"", ""Down/Up Ratio"", ""Init Fwd Win Bytes"", ""Fwd Packets/s""]",0.999352880083087,0.00016077823597904475,0.9997585776718874,5.3151171587446996e-05,0.9992126282620715,0.0002483671117481627,0.9994855156642984,0.0001278792906931193
