method,subset_name,feature_rank,feature_name,baseline_importance
baseline_random_forest_mdi_rank_top_k,Top_50,2,Bwd Packets/s,0.095232800347493
baseline_random_forest_mdi_rank_top_k,Top_50,3,Packet Length Min,0.0576908485239037
baseline_random_forest_mdi_rank_top_k,Top_50,4,Bwd Packet Length Max,0.0550381847197368
baseline_random_forest_mdi_rank_top_k,Top_50,5,Bwd Packet Length Mean,0.0494777561807203
baseline_random_forest_mdi_rank_top_k,Top_50,6,Avg Bwd Segment Size,0.0479466218536774
baseline_random_forest_mdi_rank_top_k,Top_50,7,Bwd Packets Length Total,0.0413302247704075
baseline_random_forest_mdi_rank_top_k,Top_50,8,Init Bwd Win Bytes,0.0399146063749103
baseline_random_forest_mdi_rank_top_k,Top_50,9,Fwd Packet Length Min,0.0392148355661936
baseline_random_forest_mdi_rank_top_k,Top_50,10,Subflow Bwd Bytes,0.031945601840571
baseline_random_forest_mdi_rank_top_k,Top_50,11,Down/Up Ratio,0.0298781933538742
baseline_random_forest_mdi_rank_top_k,Top_50,12,Subflow Fwd Bytes,0.0276269282772819
baseline_random_forest_mdi_rank_top_k,Top_50,13,Fwd Act Data Packets,0.0270011155157103
baseline_random_forest_mdi_rank_top_k,Top_50,14,Fwd Packet Length Mean,0.0252105364580206
baseline_random_forest_mdi_rank_top_k,Top_50,15,Fwd PSH Flags,0.0247514244397171
baseline_random_forest_mdi_rank_top_k,Top_50,16,Init Fwd Win Bytes,0.0224633815702279
baseline_random_forest_mdi_rank_top_k,Top_50,17,Avg Packet Size,0.0208874388775122
baseline_random_forest_mdi_rank_top_k,Top_50,18,RST Flag Count,0.0185041095667733
baseline_random_forest_mdi_rank_top_k,Top_50,19,Flow Bytes/s,0.0176492764379366
baseline_random_forest_mdi_rank_top_k,Top_50,20,Bwd Packet Length Min,0.0159550707295934
baseline_random_forest_mdi_rank_top_k,Top_50,21,Packet Length Mean,0.014511591330942
baseline_random_forest_mdi_rank_top_k,Top_50,22,Flow IAT Max,0.013195181644948
baseline_random_forest_mdi_rank_top_k,Top_50,23,Fwd Packets Length Total,0.0129352961562454
baseline_random_forest_mdi_rank_top_k,Top_50,24,ACK Flag Count,0.0125115016787176
baseline_random_forest_mdi_rank_top_k,Top_50,25,Fwd Packets/s,0.0117165574906939
baseline_random_forest_mdi_rank_top_k,Top_50,26,CWE Flag Count,0.0116832764123185
baseline_random_forest_mdi_rank_top_k,Top_50,27,Fwd IAT Total,0.0114696755141959
baseline_random_forest_mdi_rank_top_k,Top_50,28,Packet Length Variance,0.0110677127516175
baseline_random_forest_mdi_rank_top_k,Top_50,29,Fwd IAT Mean,0.0104208535287205
baseline_random_forest_mdi_rank_top_k,Top_50,30,Flow Packets/s,0.0101195775624915
