model,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,accuracy_delta_vs_baseline,precision_delta_vs_baseline,recall_delta_vs_baseline,f1_delta_vs_baseline,roc_auc_delta_vs_baseline,false_positive_delta_vs_baseline,false_negative_delta_vs_baseline,training_time_delta_pct_vs_baseline,prediction_time_delta_pct_vs_baseline
Baseline_65,65,0.0,0.9728446347333941,0.9997283225743666,0.9676291322111328,0.9834168639424985,0.9945409300595867,51337,67,8248,246549,4.525479399948381,0.45807120006065816,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Top_50,50,23.076923076923077,0.9720771649994612,0.9986755825209295,0.967727249535905,0.9829578750563088,0.9928151399982349,51077,327,8223,246574,2.8734298000345007,0.2957186000421643,-0.000767469733932935,-0.00105274005343714,9.81173247722733e-05,-0.0004589888861896707,-0.0017257900613517618,260,-25,-36.50551585612618,-35.44265607551729
Top_40,40,38.46153846153847,0.9725735709550263,0.9997444478247642,0.9672876839209252,0.9832482915172285,0.9958604866049982,51341,63,8335,246462,2.408430400013458,0.28981279995059595,-0.00027106377836783047,1.6125250397625024e-05,-0.00034144829020754663,-0.00016857242527001937,0.0013195565454114933,-4,87,-46.78065709367875,-36.731931649005936
Top_30,30,53.84615384615385,0.972841368904739,0.9997769586075729,0.9675781112022512,0.9834140426176933,0.9948206803725914,51349,55,8261,246536,2.0226254999870434,0.2642735000117682,-3.2658286550635296e-06,4.8636033206261864e-05,-5.102100888154659e-05,-2.8213248052244566e-06,0.0002797503130047563,-12,13,-55.30582903525947,-42.30733126711025
Top_20,20,69.23076923076923,0.9710680239450556,0.9987871953791738,0.9664046279979749,0.982329110591164,0.9919537736844958,51105,299,8560,246237,1.3395280000404455,0.25551019998965785,-0.0017766107883384619,-0.0009411271951927924,-0.0012245042131578954,-0.0010877533513344861,-0.002587156375090882,232,312,-70.40030720158124,-44.220418145514714
Top_10,10,84.61538461538461,0.9770314270691474,0.9997337593184239,0.9726566639324639,0.9860093536213952,0.9951416952393666,51338,66,6967,247830,0.8824147999985144,0.2496087000472471,0.004186792335753253,5.4367440572855585e-06,0.00502753172133108,0.0025924896788966922,0.0006007651797799163,-1,-1281,-80.50118623877552,-45.50875496774437
